Gene,Role in Cancer
ELK4,"oncogene, fusion"
ELL,"TSG, fusion"
EML4,fusion
EP300,"TSG, fusion"
EPAS1,"oncogene, TSG"
EPHA3,none
EPHA7,none
EPS15,"TSG, fusion"
ERBB2,"oncogene, fusion"
ERBB3,oncogene
ERBB4,"oncogene, TSG"
ERC1,fusion
ERCC2,TSG
ERCC3,TSG
ERCC4,TSG
ERCC5,TSG
ERG,"oncogene, fusion"
ESR1,"oncogene, TSG, fusion"
ETNK1,TSG
ETV1,"oncogene, fusion"
ETV4,"oncogene, fusion"
ETV5,"oncogene, fusion"
ETV6,"TSG, fusion"
EWSR1,"oncogene, fusion"
EXT1,"TSG, fusion"
EXT2,TSG
EZH2,"oncogene, TSG"
EZR,fusion
FAM131B,fusion
FAM135B,none
FAM47C,none
FANCA,TSG
FANCC,TSG
FANCD2,TSG
FANCE,TSG
FANCF,TSG
FANCG,TSG
FAT1,TSG
FAT3,none
FAT4,TSG
FBLN2,TSG
FBXO11,TSG
FBXW7,TSG
FCGR2B,"oncogene, fusion"
FCRL4,"oncogene, fusion"
FES,"oncogene, TSG"
FEV,"oncogene, fusion"
FGFR1,"oncogene, fusion"
FGFR1OP,fusion
FGFR2,"oncogene, fusion"
FGFR3,"oncogene, fusion"
FGFR4,oncogene
FH,TSG
FHIT,"TSG, fusion"
FIP1L1,fusion
FLI1,"oncogene, fusion"
FLNA,none
FLT3,oncogene
FLT4,oncogene
FNBP1,fusion
FOXA1,oncogene
FOXL2,"oncogene, TSG"
FOXO1,"oncogene, TSG, fusion"
FOXO3,"oncogene, TSG, fusion"
FOXO4,"oncogene, TSG, fusion"
FOXP1,"oncogene, fusion"
FOXR1,"oncogene, fusion"
FSTL3,"oncogene, fusion"
FUBP1,oncogene
FUS,"TSG, fusion"
GAS7,fusion
GATA1,"oncogene, TSG"
GATA2,oncogene
GATA3,"oncogene, TSG"
GLI1,"oncogene, fusion"
GNA11,oncogene
GNAQ,oncogene
GNAS,oncogene
GOLGA5,fusion
GOPC,fusion
GPC3,"oncogene, TSG"
GPC5,TSG
GPHN,fusion
GRIN2A,TSG
GRM3,oncogene
H3F3A,oncogene
H3F3B,oncogene
HERPUD1,fusion
HEY1,"oncogene, fusion"
HIP1,"oncogene, fusion"
HIST1H3B,oncogene
HIST1H4I,fusion
HLA-A,fusion
HMGA1,"oncogene, fusion"
HMGA2,"oncogene, fusion"
HNF1A,TSG
HNRNPA2B1,"oncogene, fusion"
HOOK3,fusion
HOXA11,"oncogene, TSG, fusion"
HOXA13,"oncogene, fusion"
HOXA9,"oncogene, TSG, fusion"
HOXC11,"oncogene, fusion"
HOXC13,"oncogene, fusion"
HOXD13,"oncogene, fusion"
HRAS,oncogene
HSP90AA1,fusion
HSP90AB1,fusion
ID3,TSG
IDH1,oncogene
IDH2,oncogene
IGF2BP2,TSG
IKBKB,oncogene
IKZF1,"TSG, fusion"
IKZF3,"oncogene, TSG"
IL2,fusion
IL21R,fusion
IL6ST,oncogene
IL7R,oncogene
IRF4,"oncogene, TSG, fusion"
IRS4,"oncogene, TSG"
ISX,none
ITGAV,none
ITK,fusion
JAK1,"oncogene, TSG"
JAK2,"oncogene, fusion"
JAK3,oncogene
JAZF1,fusion
JUN,oncogene
KAT6A,"oncogene, fusion"
KAT6B,"TSG, fusion"
KAT7,oncogene
KCNJ5,oncogene
KDM5A,"oncogene, fusion"
KDM5C,TSG
KDM6A,"oncogene, TSG"
KDR,oncogene
KDSR,fusion
KEAP1,TSG
KIAA1549,fusion
KIF5B,fusion
KIT,oncogene
KLF4,"oncogene, TSG"
KLF6,TSG
KLK2,fusion
KMT2D,"oncogene, TSG"
KNSTRN,oncogene
KRAS,oncogene
KTN1,fusion
LARP4B,TSG
LASP1,fusion
LATS1,TSG
LATS2,TSG
LCK,"oncogene, fusion"
LEF1,"oncogene, TSG"
LEPROTL1,TSG
LHFPL6,fusion
LIFR,fusion
LMNA,fusion
LMO1,"oncogene, fusion"
LMO2,"oncogene, fusion"
LPP,"oncogene, fusion"
LRIG3,"TSG, fusion"
LRP1B,TSG
LSM14A,fusion
LYL1,"oncogene, fusion"
LYN,"oncogene, fusion"
LZTR1,TSG
MACC1,oncogene
MAF,"oncogene, fusion"
MAFB,"oncogene, fusion"
MALT1,"oncogene, fusion"
MAML2,"oncogene, fusion"
MAP2K1,oncogene
MAP2K2,oncogene
MAP2K4,"oncogene, TSG"
MAP3K1,"oncogene, TSG"
MAP3K13,"oncogene, TSG"
MAPK1,oncogene
MAX,TSG
MB21D2,none
MDM2,oncogene
MDM4,oncogene
MECOM,"oncogene, fusion"
MED12,TSG
MEN1,TSG
MET,oncogene
MGMT,TSG
MITF,oncogene
MLF1,"TSG, fusion"
MLH1,TSG
MLLT1,fusion
MLLT10,"oncogene, fusion"
MLLT11,fusion
MLLT3,fusion
MLLT6,fusion
MN1,"oncogene, fusion"
MNX1,fusion
MPL,oncogene
MSH2,TSG
MSH6,TSG
MSI2,"oncogene, fusion"
MSN,fusion
MTOR,oncogene
MUC1,fusion
MUC16,oncogene
MUC4,oncogene
MUTYH,TSG
MYB,"oncogene, fusion"
MYC,"oncogene, fusion"
MYCL,oncogene
MYCN,oncogene
MYD88,oncogene
MYH11,fusion
MYH9,"TSG, fusion"
MYO5A,fusion
MYOD1,oncogene
N4BP2,TSG
NAB2,"TSG, fusion"
NACA,fusion
NBEA,none
NCKIPSD,fusion
NCOA1,fusion
NCOA2,"oncogene, fusion"
NCOR1,TSG
NCOR2,TSG
NDRG1,"TSG, fusion"
NF1,"TSG, fusion"
NF2,TSG
NFATC2,"oncogene, fusion"
NFE2L2,"oncogene, TSG"
NFIB,fusion
NFKB2,"oncogene, TSG, fusion"
NFKBIE,TSG
NIN,fusion
NONO,fusion
NOTCH1,"oncogene, TSG, fusion"
NOTCH2,"oncogene, TSG"
NPM1,"oncogene, fusion"
NR4A3,"oncogene, fusion"
NRAS,oncogene
NRG1,"TSG, fusion"
NSD1,fusion
NT5C2,oncogene
NTHL1,TSG
NTRK1,"oncogene, TSG, fusion"
NTRK3,"oncogene, fusion"
NUMA1,fusion
NUP214,fusion
NUP98,"oncogene, fusion"
OLIG2,"oncogene, fusion"
OMD,fusion
P2RY8,"oncogene, fusion"
PAFAH1B2,fusion
PALB2,TSG
PATZ1,"TSG, fusion"
PAX3,"oncogene, fusion"
PAX5,"oncogene, TSG, fusion"
PAX7,fusion
PAX8,fusion
PBRM1,TSG
PBX1,"oncogene, fusion"
PCBP1,none
PDCD1LG2,"oncogene, fusion"
PDE4DIP,fusion
PDGFB,"oncogene, fusion"
PDGFRA,"oncogene, fusion"
PDGFRB,"oncogene, fusion"
PHF6,TSG
PHOX2B,TSG
PICALM,fusion
PIK3CA,oncogene
PIK3CB,oncogene
PIK3R1,TSG
PLAG1,"oncogene, fusion"
PLCG1,"oncogene, fusion"
PML,"TSG, fusion"
PMS1,none
PMS2,TSG
POLD1,TSG
POLE,TSG
POLG,TSG
POT1,TSG
POU2AF1,"oncogene, fusion"
POU5F1,"oncogene, fusion"
PPARG,"TSG, fusion"
PPFIBP1,fusion
PPM1D,oncogene
PPP2R1A,TSG
PPP6C,TSG
PRCC,fusion
PRDM1,TSG
PRDM16,"oncogene, fusion"
PRDM2,TSG
PREX2,oncogene
PRF1,TSG
PRKACA,oncogene
PRKAR1A,"oncogene, TSG, fusion"
PRKCB,none
PRPF40B,none
PRRX1,fusion
PSIP1,"oncogene, fusion"
PTCH1,TSG
PTEN,TSG
PTK6,"oncogene, TSG"
PTPN11,oncogene
PTPN13,TSG
PTPN6,TSG
PTPRB,TSG
PTPRC,TSG
PTPRD,TSG
PTPRK,"TSG, fusion"
PTPRT,TSG
PWWP2A,fusion
QKI,"oncogene, TSG"
RABEP1,fusion
RAD17,TSG
RAD21,"oncogene, TSG"
RAD51B,"TSG, fusion"
RALGDS,fusion
RANBP2,"TSG, fusion"
RAP1GDS1,"oncogene, fusion"
RARA,"oncogene, fusion"
RB1,TSG
RBM10,TSG
RBM15,fusion
RECQL4,"oncogene, TSG"
REL,oncogene
RET,"oncogene, fusion"
RFWD3,TSG
RGS7,none
RHOA,"oncogene, TSG"
RHOH,"TSG, fusion"
RMI2,"TSG, fusion"
RNF213,fusion
RNF43,TSG
ROBO2,TSG
ROS1,"oncogene, fusion"
RPL22,"TSG, fusion"
RPL5,TSG
RPN1,fusion
RSPO2,"TSG, fusion"
RUNX1,"oncogene, TSG, fusion"
RUNX1T1,"oncogene, TSG, fusion"
S100A7,fusion
SALL4,oncogene
SBDS,TSG
SDC4,fusion
SDHA,TSG
SDHB,TSG
SDHC,TSG
5-Sep,fusion
6-Sep,fusion
9-Sep,fusion
SET,"oncogene, fusion"
SETBP1,"oncogene, fusion"
SETD1B,TSG
SETD2,TSG
SETDB1,oncogene
SF3B1,oncogene
SFPQ,"TSG, fusion"
SFRP4,TSG
SGK1,oncogene
SH2B3,TSG
SH3GL1,"oncogene, fusion"
SIRPA,TSG
SIX1,oncogene
SIX2,oncogene
SKI,oncogene
SLC34A2,"TSG, fusion"
SLC45A3,fusion
SMAD2,TSG
SMAD3,TSG
SMAD4,TSG
SMARCA4,TSG
SMARCB1,TSG
SMARCD1,TSG
SMARCE1,TSG
SMC1A,TSG
SND1,"oncogene, fusion"
SNX29,fusion
SOCS1,TSG
SOX21,TSG
SPEN,TSG
SPOP,TSG
SRC,oncogene
SRGAP3,fusion
SRSF2,oncogene
SS18,fusion
SS18L1,fusion
SSX1,"oncogene, fusion"
STAG2,TSG
STAT3,oncogene
STAT5B,"oncogene, TSG, fusion"
STAT6,"oncogene, fusion"
STIL,"oncogene, fusion"
STK11,TSG
STRN,fusion
SUFU,TSG
SUZ12,"oncogene, TSG, fusion"
SYK,"oncogene, fusion"
TAF15,"oncogene, fusion"
TAL1,"oncogene, fusion"
TAL2,"oncogene, fusion"
TBL1XR1,"oncogene, TSG, fusion"
TBX3,"oncogene, TSG"
TCF12,fusion
TCF7L2,"oncogene, fusion"
TCL1A,"oncogene, fusion"
TEC,"oncogene, fusion"
TENT5C,TSG
TERT,"oncogene, TSG"
TET1,"oncogene, TSG, fusion"
TET2,TSG
TFE3,"oncogene, fusion"
TFEB,"oncogene, fusion"
TFG,fusion
TFPT,fusion
TFRC,fusion
TGFBR2,TSG
THRAP3,fusion
TLX1,"oncogene, fusion"
TLX3,"oncogene, fusion"
TMEM127,TSG
TMPRSS2,fusion
TNC,oncogene
TNFAIP3,TSG
TNFRSF14,TSG
TNFRSF17,"oncogene, fusion"
TOP1,fusion
TP53,"oncogene, TSG, fusion"
TP63,"oncogene, TSG"
TPM3,"TSG, fusion"
TPM4,fusion
TPR,fusion
TRAF7,TSG
TRIM24,"oncogene, TSG, fusion"
TRIM27,"oncogene, fusion"
TRIM33,"TSG, fusion"
TRIP11,fusion
TRRAP,oncogene
TSC1,TSG
TSC2,TSG
TSHR,oncogene
U2AF1,oncogene
UBR5,oncogene
USP44,TSG
USP6,"oncogene, fusion"
USP8,oncogene
USP9X,fusion
VAV1,fusion
VHL,TSG
VTI1A,fusion
WAS,oncogene
WIF1,"TSG, fusion"
WNK2,TSG
WRN,TSG
WT1,"oncogene, TSG, fusion"
WWTR1,"oncogene, fusion"
XPA,TSG
XPC,TSG
XPO1,oncogene
YWHAE,"TSG, fusion"
ZBTB16,"TSG, fusion"
ZCCHC8,fusion
ZEB1,oncogene
ZFHX3,TSG
ZMYM2,fusion
ZMYM3,TSG
ZNF331,"TSG, fusion"
ZNF384,fusion
ZNF429,none
ZNF479,none
ZNF521,"oncogene, fusion"
ZNRF3,TSG
ZRSR2,TSG
